,title,max_players,genres,publisher,sales_metric,price,review_raiting,console,age_raiting,year
1093,Space Invaders Extreme,1,Action,SquareEnix,0.11,16.95,85,Nintendo DS,T,2008
1094,Ultimate Band,1,"Action,Simulation",Disney,0.11,14.95,69,Nintendo DS,E,2008
1095,The Club,4,Action,Sega,0.1,14.95,72,PlayStation 3,M,2008
1096,Madagascar: Escape 2 Africa,4,Action,Activision,0.1,24.95,58,PlayStation 3,M,2008
1097,NBA Ballers: Chosen One,4,Sports,Midway,0.1,14.95,54,PlayStation 3,M,2008
1098,Dream Pinball 3D,4,Simulation,,0.1,16.95,54,Nintendo Wii,M,2008
1099,Madagascar: Escape 2 Africa,4,Action,Activision,0.1,19.95,62,X360,T,2008
1100,Pro Evolution Soccer 2008,2,Sports,Konami,0.1,17.95,83,Nintendo Wii,T,2008
1101,Avalon Code,1,"Action,Adventure,Role-Playing (RPG)",,0.1,27.95,71,Nintendo DS,M,2008
1102,Disgaea DS,1,"Role-Playing (RPG),Strategy",,0.1,24.95,82,Nintendo DS,M,2008
1103,Guitar Rock Tour,1,Simulation,,0.1,13.95,60,Nintendo DS,T,2008
1104,Lost in Blue 3,1,Role-Playing (RPG),Konami,0.1,17.95,59,Nintendo DS,M,2008
1105,Syberia,1,Adventure,,0.1,23.95,52,Nintendo DS,T,2008
1106,Afrika,1,"Adventure,Simulation",Sony,0.1,47.95,63,PlayStation 3,T,2008
1107,NFL Head Coach 09,1,"Simulation,Sports,Strategy",EA,0.1,14.95,64,PlayStation 3,T,2008
1108,NHL 2K9,1,Sports,2K,0.1,14.95,70,PlayStation 3,T,2008
1109,Brothers in Arms: Double Time,1,"Action,Strategy",Ubisoft,0.1,17.95,45,Nintendo Wii,E,2008
1110,ObsCure: The Aftermath,1,Action,,0.1,16.95,53,Nintendo Wii,T,2008
1111,MotoGP 08,1,"Racing / Driving,Simulation,Sports",,0.1,16.95,68,X360,T,2008
1112,NFL Head Coach 09,1,"Simulation,Sports,Strategy",EA,0.1,12.95,67,X360,E,2008
1113,NFL Tour,1,"Action,Sports",EA,0.1,12.95,49,X360,M,2008
1114,Pinball Hall of Fame: The Williams Collection,4,Simulation,,0.09,17.95,78,Sony PSP,T,2008
1115,Baja: Edge of Control,4,"Racing / Driving,Simulation,Sports",THQ,0.09,17.95,61,PlayStation 3,M,2008
1116,NFL Tour,4,"Action,Sports",EA,0.09,14.95,45,PlayStation 3,E,2008
1117,Wall-E,4,Action,THQ,0.09,17.95,51,PlayStation 3,M,2008
1118,Ninja Reflex,4,Action,EA,0.09,14.95,49,Nintendo Wii,E,2008
1119,Conflict: Denied Ops,4,Action,Eidos,0.09,12.95,52,X360,T,2008
1120,Top Spin 3,4,Sports,2K,0.09,19.95,78,X360,T,2008
1121,Blitz: The League II,2,"Action,Sports",Midway,0.09,14.95,62,PlayStation 3,M,2008
1122,Hellboy: The Science of Evil,2,"Action,Adventure",Konami,0.09,16.95,47,PlayStation 3,T,2008
1123,Castlevania Judgment,2,Action,Konami,0.09,17.95,49,Nintendo Wii,T,2008
1124,Death Jr. II: Root of Evil,2,Action,Eidos,0.09,17.95,71,Nintendo Wii,E,2008
1125,Raiden IV,2,Action,,0.09,32.95,63,X360,T,2008
1126,Metal Slug 7,1,Action,,0.09,17.95,70,Nintendo DS,M,2008
1127,Spider-Man: Web of Shadows,1,Action,Activision,0.09,15.95,77,Nintendo DS,E,2008
1128,Trauma Center: Under The Knife 2,1,"Action,Simulation",,0.09,19.95,79,Nintendo DS,T,2008
1129,Fracture,1,Action,,0.09,14.95,62,PlayStation 3,M,2008
